S&P500,NASDAQ,50SMA,13RSI
4541.1,14823.8,14664.6,67.2
4534.8,14800.6,14661.3,65.1
4528.0,14775.3,14659.7,62.7
4527.9,14779.4,14657.3,63.4
4526.2,14768.3,14655.6,62.4
4531.3,14789.8,14655.6,65.5
4524.7,14759.0,14655.0,63.1
4519.8,14748.8,14653.1,62.3
4498.4,14659.4,14650.0,53.9
4514.7,14705.7,14647.1,60.3
4517.1,14737.7,14644.7,65.2
4511.9,14702.1,14638.5,62.0
4490.0,14618.8,14637.3,52.7
4475.0,14533.7,14635.5,38.4
4478.9,14540.2,14637.6,39.3
4476.8,14532.3,14640.7,37.8
4477.2,14544.2,14644.9,39.1
4486.9,14583.9,14649.1,44.0
4489.1,14582.1,14653.8,43.7
4491.4,14596.7,14658.4,45.5
4481.4,14570.4,14662.3,41.5
4484.7,14581.4,14666.3,42.7
4479.7,14567.9,14669.8,40.8
4485.9,14589.9,14672.9,42.9
4484.5,14594.6,14676.6,43.4
4487.2,14601.3,14680.2,44.0
4483.9,14585.9,14684.5,42.3
4491.9,14616.3,14683.2,44.8
4493.0,14623.8,14683.0,45.5
4490.3,14613.0,14684.0,44.4
4483.2,14578.4,14685.4,41.1
4510.3,14691.2,14687.5,50.1
4505.4,14679.5,14688.9,49.0
4487.5,14606.9,14689.9,42.0
4493.0,14623.4,14692.1,43.2
4508.6,14734.8,14696.1,53.1
4510.1,14792.1,14697.7,59.5
4509.0,14740.8,14697.9,55.0
4506.0,14737.3,14699.1,54.7
4493.2,14689.8,14701.4,50.3
4486.5,14665.0,14704.9,47.8
4488.1,14667.2,14707.5,48.0
4492.6,14675.9,14710.2,48.7
4504.8,14737.8,14712.7,54.1
4502.2,14723.4,14714.0,53.0
4500.3,14714.8,14715.5,52.3
4500.9,14710.3,14716.8,52.0
4489.2,14657.5,14718.4,48.4
4480.9,14623.0,14720.9,45.9
4488.7,14652.4,14726.0,47.7
4491.7,14659.3,14735.5,48.1
4504.9,14722.8,14744.5,51.9
4491.7,14655.7,14751.6,47.9
4498.5,14695.2,14761.2,50.1
4521.2,14768.2,14768.1,54.6
4517.0,14757.2,14774.4,54.0
4495.9,14663.7,14781.5,49.0
4478.9,14593.3,14791.9,44.9
4457.6,14514.7,14805.4,39.9
4482.4,14587.7,14819.9,43.3
4454.1,14429.4,14832.7,31.7
4485.7,14638.9,14849.4,42.2
4460.9,14532.0,14860.3,31.5
4486.7,14635.3,14873.4,37.8
4506.8,14696.9,14884.4,42.4
4513.2,14740.5,14894.2,46.1
4521.9,14753.5,14902.6,47.2
4531.9,14818.6,14910.7,53.2
4531.6,14815.6,14917.3,53.0
4526.8,14788.9,14924.1,50.8
4521.7,14771.7,14931.3,49.4
4518.4,14754.6,14938.6,48.0
4511.9,14723.3,14946.1,45.5
4523.9,14776.1,14951.7,49.2
4524.9,14773.3,14953.8,49.0
4529.2,14819.3,14956.2,52.1
4478.9,14519.6,14958.2,22.2
4493.8,14604.4,14966.6,26.5
4511.3,14673.8,14971.9,31.1
4510.8,14684.9,14975.6,31.9
4513.5,14683.1,14981.1,31.6
4531.2,14763.1,14986.3,37.7
4514.6,14727.1,14988.7,32.3
4519.2,14716.4,14992.0,30.6
4543.1,14823.2,14995.6,39.5
4536.1,14814.9,14998.5,38.2
4533.3,14802.8,15000.5,36.4
4533.6,14802.5,15002.4,36.4
4547.1,14851.4,15004.3,40.5
4548.8,14865.6,15004.9,41.7
4539.7,14794.8,15005.3,32.0
4542.3,14800.4,15006.5,32.4
4542.7,14801.0,15007.4,32.4
4542.6,14802.9,15009.2,32.5
4539.2,14797.0,15010.8,31.8
4536.2,14784.2,15012.5,30.4
4538.9,14790.0,15015.0,30.7
4537.8,14781.4,15015.7,29.8
4555.5,14879.1,15015.9,34.3
4584.0,15126.9,15014.1,52.8
4582.0,15110.2,15007.3,51.2
4574.9,15075.4,14999.7,47.6
4580.2,15134.4,14991.1,53.7
4559.7,15043.9,14978.1,43.6
4562.9,15080.4,14966.6,47.4
4557.4,15110.6,14955.0,50.8
4570.3,15188.5,14943.0,61.5
4584.7,15264.3,14930.0,75.6
4577.0,15241.6,14915.5,74.0
4575.8,15229.1,14900.4,73.0
4580.6,15261.7,14885.5,79.9
4561.8,15185.7,14870.3,74.8
4566.6,15188.3,14856.5,75.4
4567.7,15183.4,14842.9,75.1
4568.7,15184.7,14829.0,75.3
4564.5,15160.6,14813.7,73.8
4562.9,15158.2,14798.4,73.6
4561.5,15151.6,14783.5,73.2
4563.0,15154.3,14769.3,73.6
4563.0,15151.7,14755.2,73.5
4558.3,15136.3,14736.7,72.7
4557.0,15129.8,14718.9,72.4
4540.8,15002.9,14700.5,65.2
4516.3,14881.8,14686.5,54.8
4516.2,14892.1,14672.0,56.1
4516.2,14918.4,14652.5,59.4
4518.9,14938.4,14634.6,62.1
4512.0,14872.2,14613.7,56.2
4509.3,14854.9,14596.3,54.4
4517.0,14964.1,14580.1,70.5
4506.9,14940.2,14562.2,68.6
4499.1,14886.2,14545.2,63.8
4497.8,14890.2,14530.7,64.5
4498.7,14897.2,14516.0,65.6
4516.1,14965.9,14501.3,77.8
4506.9,14916.7,14484.2,74.7
4501.9,14898.6,14468.6,73.4
4501.8,14893.8,14454.3,73.1
4499.3,14884.1,14438.8,72.5
4498.8,14884.9,14423.8,72.6
4491.1,14856.3,14408.3,70.9
4488.9,14843.4,14393.8,70.1
4501.6,14890.3,14377.0,77.0
4500.4,14883.7,14359.7,76.7
4498.8,14881.0,14343.8,76.6
4508.6,14909.3,14329.4,80.5
4492.9,14826.0,14317.4,77.4
4485.9,14789.8,14307.2,75.8
4485.4,14790.9,14298.8,76.0
4479.4,14787.6,14289.2,75.9
4463.9,14730.2,14278.4,73.6
4445.5,14644.7,14268.5,69.7
4421.3,14485.8,14257.8,59.5
4418.1,14466.6,14252.6,57.9
4422.6,14502.3,14246.0,62.1
4427.4,14512.1,14235.7,63.2
4435.4,14535.6,14224.3,66.0
4440.2,14537.9,14212.6,66.2
4435.6,14488.3,14200.8,63.4
4436.4,14482.9,14189.0,63.1
4442.2,14501.7,14178.4,64.8
4439.5,14495.3,14168.6,64.5
4442.5,14507.9,14162.1,65.6
4436.2,14488.8,14157.6,64.8
4423.6,14421.1,14151.2,61.8
4416.8,14397.0,14146.0,60.7
4419.6,14411.3,14143.7,61.7
4427.0,14443.0,14145.3,63.8
4431.7,14449.9,14147.5,64.2
4372.7,14226.3,14147.7,55.2
4374.6,14245.5,14151.3,56.3
4357.9,14209.0,14155.8,54.7
4381.6,14303.3,14161.2,60.0
4345.8,14159.0,14163.7,53.6
4296.8,13915.3,14170.1,38.3
4321.0,14026.0,14180.2,44.5
4284.6,13889.8,14188.1,32.1
4310.9,14002.7,14196.7,38.7
4318.1,14044.3,14201.2,41.6
4328.0,14072.2,14204.7,43.7
4334.0,14090.3,14207.9,45.0
4352.3,14158.4,14211.1,50.2
4350.6,14157.2,14212.8,50.1
4354.0,14162.3,14213.7,50.5
4340.1,14110.4,14214.8,46.7
4347.5,14134.4,14215.6,48.3
4361.3,14182.7,14217.1,51.5
4345.9,14121.4,14212.1,47.4
4346.5,14135.4,14213.0,48.3
4342.8,14110.1,14218.4,46.7
4351.7,14127.9,14221.9,47.6
4326.0,14004.9,14221.5,39.7
4323.2,14024.3,14222.3,40.6
4332.7,14090.2,14224.6,43.7
4352.5,14162.0,14225.0,47.3
4401.9,14310.3,14226.2,56.1
4405.2,14312.7,14224.5,56.2
4415.8,14370.4,14223.2,60.0
4383.6,14311.7,14221.6,57.3
4360.3,14247.4,14222.6,54.2
4358.8,14233.2,14222.2,53.6
4333.2,14110.5,14223.1,47.3
4354.5,14226.0,14227.2,53.6
4336.9,14136.5,14229.2,48.8
4306.4,13989.4,14231.3,39.2
4289.2,13939.4,14236.9,35.4
4293.4,13950.0,14245.0,35.8
4289.3,13947.6,14253.2,35.6
4279.2,13901.1,14261.3,32.5
4294.9,13954.5,14273.2,34.3
4304.3,14007.3,14284.5,36.0
4342.2,14173.6,14294.8,42.5
4373.5,14283.3,14294.7,47.7
4346.4,14166.6,14292.9,40.6
4348.1,14163.4,14288.3,40.4
4377.0,14279.0,14283.9,45.6
4420.9,14494.2,14280.4,58.9
4433.0,14549.9,14272.7,63.2
4420.9,14462.7,14265.4,58.8
4404.7,14405.5,14262.3,55.6
4433.4,14468.8,14262.4,60.4
4424.5,14480.1,14260.0,61.3
4413.9,14429.4,14259.8,58.8
4426.9,14476.3,14261.2,62.2
4414.1,14424.0,14262.2,59.8
4409.4,14417.3,14264.7,59.5
4392.3,14322.3,14267.5,55.1
4365.5,14227.6,14272.0,50.0
4363.8,14218.2,14278.6,49.4
4367.2,14235.1,14285.0,50.3
4370.7,14246.0,14291.8,50.9
4371.2,14245.1,14297.8,50.8
4359.2,14203.9,14304.2,49.1
4362.5,14215.0,14308.5,49.5
4350.5,14153.8,14312.8,47.1
4365.2,14205.9,14320.2,48.9
4313.9,13936.2,14328.4,37.3
4359.6,14165.1,14342.8,45.4
4407.9,14404.5,14353.7,57.4
4376.1,14287.1,14361.1,51.6
4328.3,14105.6,14368.6,40.0
4310.7,14042.9,14381.0,35.0
4324.4,14140.9,14394.6,39.8
4303.8,14112.1,14407.0,37.5
4346.4,14220.1,14420.9,43.2
4347.7,14225.8,14432.4,43.5
4353.8,14249.4,14443.3,44.8
4365.6,14288.5,14453.9,46.9
4381.6,14361.5,14462.5,51.1
4350.5,14227.7,14469.5,42.4
4362.1,14279.5,14478.0,45.3
4366.9,14313.3,14485.0,47.2
4367.1,14326.6,14492.0,48.0
4352.3,14244.2,14500.1,42.9
4358.6,14265.8,14509.4,43.9
4376.1,14346.7,14519.2,48.0
4376.6,14360.7,14527.0,48.7
4374.9,14353.2,14536.7,48.3
4409.6,14493.7,14551.6,55.4
4415.3,14517.4,14565.6,56.7
4414.8,14524.8,14580.4,57.1
4316.5,14169.9,14595.8,38.5
4325.5,14190.1,14618.8,39.4
4266.5,13935.8,14640.8,16.8
4271.3,13947.5,14666.1,17.1
4301.1,14101.3,14690.3,21.2
4304.3,14112.0,14711.8,21.6
4333.8,14182.3,14732.6,23.9
4371.8,14306.3,14751.8,28.8
4392.1,14410.5,14768.1,34.4
4383.1,14351.2,14782.6,27.0
4409.5,14468.0,14798.9,34.0
4412.9,14503.3,14811.9,36.6
4419.1,14524.6,14824.4,38.3
4425.6,14548.2,14836.5,40.2
4429.3,14559.9,14847.0,41.1
4429.3,14547.2,14857.2,39.7
4429.8,14555.1,14867.5,40.2
4426.3,14540.7,14876.8,38.8
4432.7,14573.7,14887.0,40.9
4422.1,14546.8,14896.5,38.4
4422.5,14562.1,14909.5,39.3
4389.5,14422.1,14923.6,25.5
4394.5,14427.9,14941.6,25.8
4414.6,14522.4,14957.1,29.7
4436.3,14619.8,14971.0,34.6
4442.5,14655.2,14986.0,36.7
4459.5,14708.4,14999.5,40.0
4474.6,14774.4,15010.8,44.7
4450.7,14663.4,15021.0,32.6
4460.0,14727.6,15033.3,36.9
4458.2,14719.3,15044.2,35.9
4468.5,14760.6,15054.0,38.7
4482.8,14810.5,15060.8,42.5
4480.4,14794.0,15066.6,40.7
4476.2,14772.4,15072.6,38.4
4475.7,14777.2,15078.7,38.7
4464.5,14716.0,15085.5,32.4
4461.6,14711.5,15093.7,32.0
4450.5,14656.1,15103.1,26.1
4446.0,14629.8,15113.6,23.1
4447.0,14661.6,15125.2,24.2
4461.3,14734.0,15137.0,26.8
4460.0,14709.1,15146.8,24.2
4470.4,14756.0,15159.0,25.8
4465.1,14735.8,15169.4,23.8
4481.5,14846.7,15180.1,27.5
4547.4,15096.5,15190.3,40.9
4567.7,15191.2,15194.9,49.2
4582.2,15257.4,15198.0,56.7
4589.8,15295.5,15200.6,61.6
4595.4,15322.3,15202.3,65.3
4581.8,15288.2,15202.6,62.7
4554.4,15200.1,15203.5,54.4
4550.2,15157.2,15205.9,49.3
4556.2,15177.9,15210.2,51.9
4552.9,15151.4,15215.9,48.8
4549.3,15143.5,15222.2,47.8
4546.6,15119.2,15228.1,45.0
4551.5,15139.3,15235.0,46.9
4559.1,15166.0,15241.9,49.6
4549.3,15117.3,15250.5,44.3
4551.8,15125.5,15260.2,45.0
4551.9,15130.3,15269.9,45.4
4538.3,15075.7,15279.4,39.7
4535.8,15067.0,15289.3,38.7
4536.1,15065.2,15299.7,38.5
4524.6,15018.7,15310.1,33.8
4533.1,15048.0,15321.5,35.4
4533.4,15050.7,15333.0,35.5
4568.5,15196.5,15344.6,44.4
4579.5,15265.2,15353.3,49.9
4596.0,15323.5,15360.3,55.2
4582.5,15206.2,15366.3,44.2
4578.1,15213.3,15374.1,44.8
4609.6,15372.6,15381.4,63.0
4601.4,15327.4,15385.3,58.6
4592.4,15277.1,15389.5,52.8
4592.0,15282.7,15394.8,53.6
4590.7,15278.7,15400.3,53.1
4588.0,15274.6,15405.5,52.7
4575.2,15206.6,15411.0,44.9
4549.7,15099.1,15418.3,27.4
4550.9,15104.5,15428.3,27.8
4551.3,15090.9,15438.8,25.2
4550.4,15077.6,15449.2,22.7
4559.9,15117.1,15457.8,25.0
4567.5,15125.8,15466.1,25.6
4574.4,15180.8,15472.6,29.1
4573.9,15185.0,15480.1,29.4
4576.5,15205.9,15486.6,30.8
4585.1,15251.6,15494.4,34.1
4580.9,15225.1,15496.7,30.1
4599.3,15319.6,15499.0,37.7
4586.0,15278.0,15502.2,30.6
4572.8,15267.8,15506.7,28.8
4595.7,15355.9,15511.9,36.4
4590.1,15327.6,15514.9,31.0
4596.6,15347.5,15518.6,32.8
4619.6,15386.1,15522.3,36.6
4621.9,15383.1,15525.1,36.1
4611.7,15334.0,15527.6,26.8
4611.6,15333.9,15530.4,26.8
4608.2,15322.9,15533.1,24.6
4620.5,15371.0,15536.2,27.9
4640.6,15459.9,15539.0,35.9
4642.0,15468.2,15540.1,36.8
4639.6,15440.8,15541.0,31.5
4642.4,15464.6,15542.5,33.8
4647.5,15479.6,15546.0,35.3
4667.2,15596.7,15550.3,51.6
4667.5,15603.0,15551.4,52.8
4669.3,15613.8,15555.6,54.9
4665.3,15601.2,15558.8,52.9
4663.1,15570.7,15565.8,47.8
4664.3,15588.4,15573.5,50.8
4665.9,15586.2,15580.1,50.4
4664.4,15589.3,15586.2,50.9
4666.5,15621.3,15592.7,55.8
4672.2,15629.1,15598.4,57.0
4673.2,15633.9,15603.8,57.8
